Fantasy Team,Gender Match,Last Name,First Name,Fantasy Points,Goals,Assists,Throwing Yards,Receiving Yards,Blocks,Turns
Combo-Owner-Draft,GM,Last,First,SUM of FantasyPts,SUM of Goals,SUM of Assists,SUM of ThrowYds,SUM of RecYds,SUM of Block,SUM of Turn
Keegs GUY-4-10,F,Beaudry,Anouchka,6.9,3,2,51,172,0,1
,F,Cárdenas,Valeria,5.7,3,0,213,258,0,3
,F,Cartagena,Yina,12.0,1,3,218,219,0,1
,F,Thompson,Anna,23.9,2,5,225,254,2,1
,F,Vallet,Chloé,0.8,0,2,77,125,0,2
,M,Ancelin,Gaël,-7.4,1,0,232,-21,0,5
,M,Auger-Semmar,Malik,17.4,4,3,174,257,0,0
,M,Dieckmann,Jakob,11.0,6,2,156,367,0,3
,M,Ing,Michael,30.8,5,3,256,202,5,3
,M,McGuckin,Sam,10.3,4,3,110,301,0,2
Keith DEEP-4-10,F,Beaudry,Anouchka,6.9,3,2,51,172,0,1
,F,Imanishi,Kanari,7.5,1,0,110,110,1,1
,F,Phillips,Cat,21.9,1,4,240,379,2,2
,F,Prien,Nici,7.6,2,2,27,239,1,2
,F,Walczak,Levke,6.4,10,1,86,489,1,7
,M,Andrews,Rob,24.8,3,4,266,337,3,3
,M,Edmonds,Thomas,26.5,4,3,451,238,1,1
,M,Hayes,Raphy,12.9,4,3,129,450,2,5
,M,McGuckin,Sam,10.3,4,3,110,301,0,2
,M,Ramirez,Andrés,15.7,5,2,52,154,1,0
Keith GINET-4-12,F,Beaudry,Anouchka,6.9,3,2,51,172,0,1
,F,Cartagena,Yina,12.0,1,3,218,219,0,1
,F,Imanishi,Kanari,7.5,1,0,110,110,1,1
,F,Trop,Claire,14.2,7,0,38,252,1,1
,F,Wiya,Kya,6.2,4,2,41,250,0,2
,F,Zhang,Ying,0.8,0,0,68,-65,0,0
,M,Andrews,Rob,24.8,3,4,266,337,3,3
,M,Edmonds,Thomas,26.5,4,3,451,238,1,1
,M,Freechild,Dylan,19.3,1,5,475,-3,2,3
,M,McGuckin,Sam,10.3,4,3,110,301,0,2
,M,Müller,Nico,24.2,1,7,565,106,0,1
,M,Ramírez,Simón,-2.1,0,0,19,17,0,1
Keith POD-5-8,F,Kashino,Yuko,19.5,2,6,239,213,0,0
,F,Kimura,Lauren,16.5,0,2,188,41,2,0
,F,Trop,Claire,14.2,7,0,38,252,1,1
,F,Walczak,Levke,6.4,10,1,86,489,1,7
,M,Andrews,Rob,24.8,3,4,266,337,3,3
,M,Auger-Semmar,Malik,17.4,4,3,174,257,0,0
,M,McGuckin,Sam,10.3,4,3,110,301,0,2
,M,Schloer,Conrad,43.0,4,11,332,447,3,1
Keith SOAP-5-10,F,Cárdenas,Valeria,5.7,3,0,213,258,0,3
,F,Dos Santos,Brittney,9.3,2,4,282,192,0,3
,F,Groom,Kami,9.9,3,2,22,210,0,0
,F,Imanishi,Kanari,7.5,1,0,110,110,1,1
,F,Trop,Claire,14.2,7,0,38,252,1,1
,M,Auger-Semmar,Malik,17.4,4,3,174,257,0,0
,M,Ing,Henry,15.0,4,3,110,386,0,1
,M,McGuckin,Sam,10.3,4,3,110,301,0,2
,M,Schloer,Conrad,43.0,4,11,332,447,3,1
,M,Snider,Quinn,16.2,5,1,52,331,2,2
Keith STURF-4-10,F,Cárdenas,Valeria,5.7,3,0,213,258,0,3
,F,Cartagena,Yina,12.0,1,3,218,219,0,1
,F,Dos Santos,Brittney,9.3,2,4,282,192,0,3
,F,Kashino,Yuko,19.5,2,6,239,213,0,0
,F,Prien,Nici,7.6,2,2,27,239,1,2
,M,Gan,Alex,-8.9,1,0,293,111,0,7
,M,Ing,Henry,15.0,4,3,110,386,0,1
,M,McGuckin,Sam,10.3,4,3,110,301,0,2
,M,Müller,Nico,24.2,1,7,565,106,0,1
,M,Poitte-Sokolsky,Sacha,4.2,4,0,254,77,0,3
Kristjan EESTI-6-8,F,Cartagena,Yina,12.0,1,3,218,219,0,1
,F,Groom,Kami,9.9,3,2,22,210,0,0
,F,Walczak,Levke,6.4,10,1,86,489,1,7
,F,Wiya,Kya,6.2,4,2,41,250,0,2
,M,Auger-Semmar,Malik,17.4,4,3,174,257,0,0
,M,Gan,Alex,-8.9,1,0,293,111,0,7
,M,McGuckin,Sam,10.3,4,3,110,301,0,2
,M,Schloer,Conrad,43.0,4,11,332,447,3,1
Liam AK-5-10,F,Culton,Dawn,9.2,3,1,73,151,0,0
,F,Forero,Maria,3.7,1,1,15,62,0,0
,F,Groom,Kami,9.9,3,2,22,210,0,0
,F,Santos,Maria Paula,6.8,2,1,56,107,0,0
,F,Wiya,Kya,6.2,4,2,41,250,0,2
,M,Andrews,Rob,24.8,3,4,266,337,3,3
,M,Arakawa,Taiyo,19.2,9,0,-37,367,1,0
,M,Müller,Nico,24.2,1,7,565,106,0,1
,M,Poitte-Sokolsky,Sacha,4.2,4,0,254,77,0,3
,M,Schloer,Conrad,43.0,4,11,332,447,3,1
Liam EUCOMM-8-8,F,Cárdenas,Manuela,8.4,1,2,222,87,0,1
,F,Ollivier,Chloé,3.5,2,0,-18,101,0,0
,F,Santos,Maria Paula,6.8,2,1,56,107,0,0
,F,Wiya,Kya,6.2,4,2,41,250,0,2
,M,Arakawa,Taiyo,19.2,9,0,-37,367,1,0
,M,Benvegnen,Paul,32.6,2,8,569,172,2,2
,M,Bonnet,Elliot,18.4,5,2,151,439,1,2
,M,Ing,Michael,30.8,5,3,256,202,5,3
