Owner,Team,First,Last,GM,Goals,Assists,ThrowYds,RecYds,Block,Turn,FantasyPts,Draft,Combo-Owner-Draft,TeamName
Keegs,CAN,Malik,Auger-Semmar,M,4,3,174,257,0,0,17.4,GUY-4-10,Keegs GUY-4-10,CANMalikAuger-Semmar
Keegs,CAN,Anouchka,Beaudry,F,3,2,51,172,0,1,6.9,GUY-4-10,Keegs GUY-4-10,CANAnouchkaBeaudry
,CAN,Malcolm,Bryson,M,0,2,95,98,2,1,11.9,GUY-4-10,,CANMalcolmBryson
,CAN,Florence,Dionne,F,1,0,0,33,1,0,5.7,GUY-4-10,,CANFlorenceDionne
Guy,CAN,Brittney,Dos Santos,F,2,4,282,192,0,3,9.3,GUY-4-10,Guy GUY-4-10,CANBrittneyDos Santos
Sam,CAN,Thomas,Edmonds,M,4,3,451,238,1,1,26.5,GUY-4-10,Sam GUY-4-10,CANThomasEdmonds
Ian,CAN,Marty,Gallant,M,3,1,154,217,0,0,13.0,GUY-4-10,Ian GUY-4-10,CANMartyGallant
,CAN,Sarah,Jacobsohn,F,0,3,86,163,0,4,-3.1,GUY-4-10,,CANSarahJacobsohn
,CAN,Lauren,Kimura,F,0,2,188,41,2,0,16.5,GUY-4-10,,CANLaurenKimura
Ian,CAN,Mika,Kurahashi,F,0,1,95,99,1,1,6.9,GUY-4-10,Ian GUY-4-10,CANMikaKurahashi
,CAN,Mark,Lloyd,M,2,0,57,119,1,1,7.1,GUY-4-10,,CANMarkLloyd
,CAN,Gagan,Chatha,M,1,3,305,10,2,2,15.4,GUY-4-10,,CANGaganChatha
,CAN,Quinn,Snider,M,5,1,52,331,2,2,16.2,GUY-4-10,,CANQuinnSnider
Ian,CAN,Molly,Wedge,F,1,0,3,24,1,1,2.6,GUY-4-10,Ian GUY-4-10,CANMollyWedge
,CHN,Xiaoyun,Gao,F,2,0,31,227,0,4,-4.6,GUY-4-10,,CHNXiaoyunGao
,CHN,Jiarong,Guo,M,4,2,132,375,3,1,26.5,GUY-4-10,,CHNJiarongGuo
,CHN,Xin,Li,M,3,2,314,193,0,3,9.4,GUY-4-10,,CHNXinLi
,CHN,Xue,Li,F,1,0,86,27,0,3,-4.9,GUY-4-10,,CHNXueLi
,CHN,Bo,Liu,M,3,1,287,119,0,4,3.1,GUY-4-10,,CHNBoLiu
,CHN,Quan,Mao,M,0,6,498,69,2,7,9.5,GUY-4-10,,CHNQuanMao
,CHN,Xuanxuan,Wang,F,1,1,13,100,1,3,-0.6,GUY-4-10,,CHNXuanxuanWang
